Date,Open,High,Low,Close,Volume
16-Aug-02,165.25,168.66,158.00,166.25,13495430
15-Aug-02,158.00,165.53,153.83,162.52,15052029
14-Aug-02,152.00,152.00,142.65,146.33,16884466
13-Aug-02,158.00,162.00,149.00,156.00,17363438
12-Aug-02,159.00,159.00,152.00,157.25,8171863
9-Aug-02,147.97,159.50,147.97,150.18,20880976
8-Aug-02,141.00,150.50,141.00,148.00,13277349
7-Aug-02,146.27,146.99,139.38,143.31,12973389
6-Aug-02,129.75,148.00,125.00,135.00,24195420
5-Aug-02,137.53,139.16,126.00,129.53,16153135
2-Aug-02,150.47,151.75,132.25,144.29,19546060
1-Aug-02,147.47,155.25,145.94,151.75,18898260
31-Jul-02,143.97,153.00,139.72,149.82,11766313
30-Jul-02,143.97,149.00,135.67,142.75,9258415
29-Jul-02,133.03,146.50,132.72,140.18,23884868
26-Jul-02,142.49,146.28,126.81,131.28,29960700
25-Jul-02,144.00,150.00,130.14,141.25,19269140
24-Jul-02,143.97,143.97,125.71,135.25,35444584
23-Jul-02,137.00,150.00,130.94,140.67,59558924
22-Jul-02,134.00,137.00,125.25,129.43,14805610
19-Jul-02,145.97,152.30,132.87,138.72,12607204
18-Jul-02,138.97,172.14,135.00,146.00,21374650
17-Jul-02,126.00,141.25,125.87,137.29,20375654
16-Jul-02,135.00,139.86,123.00,128.00,21613464
15-Jul-02,131.31,134.00,126.50,130.67,13248052
12-Jul-02,121.02,134.25,121.02,131.75,20377668
11-Jul-02,125.78,132.00,117.58,123.00,20913340
10-Jul-02,131.28,132.00,122.45,125.75,10002168
9-Jul-02,137.03,138.50,127.00,131.43,25955564
8-Jul-02,142.10,145.50,136.25,140.00,12294278
5-Jul-02,131.00,148.25,131.00,141.64,30257608
4-Jul-02,128.77,138.81,128.77,129.90,8359631
3-Jul-02,135.48,137.00,127.00,128.80,15542192
2-Jul-02,140.00,143.00,132.50,139.72,24080938
1-Jul-02,146.03,153.25,142.25,144.50,9826298
28-Jun-02,140.22,153.00,140.22,146.00,16955464
27-Jun-02,140.30,146.50,135.75,141.00,14816588
26-Jun-02,135.00,135.75,118.50,134.50,23254760
25-Jun-02,136.50,143.09,136.50,142.40,18560792
24-Jun-02,144.00,149.25,131.82,134.59,20973332
21-Jun-02,134.12,147.00,128.72,144.00,35086908
20-Jun-02,140.20,145.22,131.00,136.66,18575068
19-Jun-02,157.47,157.72,139.00,142.77,24114572
18-Jun-02,157.47,159.20,149.00,153.50,9694384
17-Jun-02,156.00,159.50,151.50,157.86,11974524
14-Jun-02,163.00,163.00,148.25,153.48,20340232
13-Jun-02,168.19,174.25,158.00,163.03,19360132
12-Jun-02,179.96,179.96,163.81,166.75,23922024
11-Jun-02,165.50,180.00,159.00,179.91,43506056
10-Jun-02,165.28,171.00,157.00,169.47,9711662
7-Jun-02,172.46,172.53,155.00,171.69,18530520
6-Jun-02,178.79,183.97,169.25,171.00,20758456
5-Jun-02,187.04,187.04,175.00,179.70,16634964
31-May-02,167.47,187.00,167.47,179.50,28558686
30-May-02,187.54,187.54,162.00,172.14,31169434
29-May-02,200.00,200.00,172.59,181.31,40060668
28-May-02,212.22,212.28,196.75,201.00,10941304
27-May-02,215.21,215.50,206.25,208.79,9375302
24-May-02,207.50,217.00,207.06,215.11,16778646
23-May-02,209.50,214.00,204.75,206.79,11171453
22-May-02,217.04,218.25,206.00,207.00,18988068
21-May-02,217.04,226.00,212.75,216.96,13466942
20-May-02,224.96,229.25,215.00,222.33,9841071
17-May-02,227.00,231.50,223.00,225.00,13494545
16-May-02,225.04,227.00,216.75,222.04,19072344
15-May-02,232.00,238.00,222.50,225.00,14983951
14-May-02,230.00,236.00,225.00,231.52,17461028
13-May-02,225.50,226.60,214.87,225.00,10580977
10-May-02,230.00,235.00,222.06,225.92,30396788
9-May-02,238.20,249.50,232.00,239.26,17046704
8-May-02,222.54,241.00,222.54,237.79,38666728
7-May-02,219.04,228.00,210.35,224.75,22124644
3-May-02,225.45,229.00,216.50,222.00,11846963
2-May-02,225.00,232.50,224.00,227.75,28852484
1-May-02,222.50,229.25,218.12,223.00,14966948
30-Apr-02,217.42,223.75,213.00,221.00,14148890
29-Apr-02,225.83,225.83,208.25,216.55,14925176
26-Apr-02,225.32,229.13,222.00,225.80,14663641
25-Apr-02,230.08,231.75,217.72,225.83,16016314
24-Apr-02,241.00,247.00,220.00,240.88,16346501
23-Apr-02,244.59,258.00,243.75,246.15,14382073
22-Apr-02,256.84,256.84,244.00,244.50,11029026
19-Apr-02,246.41,264.75,238.07,257.15,16966144
18-Apr-02,267.09,271.75,245.00,246.50,27443608
17-Apr-02,270.25,278.75,261.25,267.00,23976874
16-Apr-02,255.00,268.41,247.00,264.75,24607332
15-Apr-02,264.87,271.00,219.04,248.09,65352952
12-Apr-02,268.82,272.25,257.00,270.00,25125120
11-Apr-02,283.10,285.33,263.18,268.11,16283206
10-Apr-02,282.90,284.50,270.00,276.75,10852070
9-Apr-02,274.90,290.50,269.00,284.21,18216502
8-Apr-02,269.09,285.00,269.00,274.00,23628308
5-Apr-02,263.09,272.25,263.09,269.00,14625079
4-Apr-02,263.34,270.00,255.00,263.07,13916942
3-Apr-02,275.45,278.00,248.00,266.13,19279532
2-Apr-02,283.35,288.25,272.25,274.06,7412891
28-Mar-02,284.25,287.50,277.56,284.00,4504429
27-Mar-02,280.60,283.75,273.00,282.00,10907788
26-Mar-02,283.85,285.94,275.75,283.30,7878106
25-Mar-02,293.60,293.60,278.50,283.82,7624994
22-Mar-02,296.10,303.31,289.00,300.50,6210613
21-Mar-02,290.40,299.50,280.00,295.00,5964796
20-Mar-02,298.60,301.00,285.31,290.50,5766259
19-Mar-02,300.39,305.00,294.50,300.50,5022715
18-Mar-02,299.64,304.75,294.00,300.50,11716737
