qdate,open,low,high,close
1998-01-02,463.00,466.00,456.25,461.77
1998-01-05,468.00,475.00,450.00,458.50
1998-01-06,453.00,462.00,445.00,453.00
1998-01-07,453.00,458.00,446.00,450.82
1998-01-08,450.00,460.00,445.00,445.00
1998-01-09,445.00,448.00,442.50,446.00
1998-01-12,432.00,442.00,424.00,432.00
1998-01-13,428.50,431.75,413.00,428.00
1998-01-14,458.25,421.75,404.00,415.00
1998-01-15,414.00,419.50,412.00,417.50
1998-01-16,421.00,422.00,408.00,411.00
1998-01-19,410.00,413.00,375.00,387.75
1998-01-20,377.00,384.50,374.25,380.25
1998-01-21,380.00,386.00,375.00,375.14
1998-01-22,381.75,388.00,377.25,382.00
1998-01-23,384.50,384.50,372.00,384.00
1998-01-26,378.00,382.00,372.00,373.50
1998-01-27,374.00,378.00,372.00,378.00
1998-01-28,378.00,384.50,366.50,372.00
1998-01-29,367.50,373.50,366.00,370.00
1998-01-30,366.50,381.25,358.00,360.00
1998-02-02,352.00,370.00,340.00,346.00
1998-02-03,357.00,368.00,341.88,342.00
1998-02-04,362.00,376.00,333.13,341.88
1998-02-05,369.50,376.50,363.50,373.00
1998-02-06,372.00,378.00,364.00,375.00
1998-02-09,369.00,376.00,368.00,370.50
1998-02-10,373.00,378.00,366.50,368.05
1998-02-11,372.00,373.50,356.00,360.00
1998-02-12,363.00,379.00,359.50,370.00
1998-02-13,363.00,374.00,355.00,364.99
1998-02-16,366.25,372.00,362.00,365.25
1998-02-17,371.00,385.00,366.00,379.00
1998-02-18,381.75,399.00,378.00,390.59
1998-02-19,385.50,402.50,371.00,373.00
1998-02-20,374.00,379.50,363.50,371.50
1998-02-23,375.00,379.00,364.00,368.00
1998-02-24,380.00,380.00,352.00,358.00
1998-02-25,360.00,385.00,354.25,374.00
1998-02-26,377.00,394.00,377.00,388.50
1998-02-27,392.00,397.00,384.00,393.00
1998-03-02,392.00,420.00,391.00,414.62
1998-03-03,413.50,454.25,411.00,428.00
1998-03-04,425.00,455.50,420.00,426.50
1998-03-05,421.50,430.00,410.00,425.00
1998-03-06,428.00,436.00,418.00,426.00
1998-03-09,436.75,440.00,426.00,435.00
1998-03-10,436.75,450.00,430.00,435.00
1998-03-11,443.00,454.50,440.00,448.00
1998-03-12,439.00,466.00,430.00,436.00
1998-03-13,440.00,440.00,431.00,435.75
1998-03-16,440.00,449.00,422.50,441.00
1998-03-17,443.50,450.00,437.53,445.71
1998-03-18,443.00,449.00,438.50,445.00
1998-03-19,450.00,456.50,446.00,455.00
1998-03-20,469.00,480.00,434.00,460.00
1998-03-23,452.50,470.00,445.00,448.72
1998-03-24,449.50,470.00,445.00,464.08
1998-03-25,467.75,472.00,454.25,466.50
